,BFI: Weekend 24-26 August 2018 UK box office report,,,,,,,,,
Rank,Film,Country of Origin,Weekend Gross,Distributor,% change on last week,Weeks on release,Number of cinemas,Site average,Total Gross to date,
1,Disney's Christopher Robin,UK/USA,"£2,138,824",Disney,-16%,2,673,"£3,178","£7,184,365",
2,Mamma Mia: Here we Go Again!,UK/USA,"£1,701,162",Universal,-24%,6,654,"£2,601","£58,748,746",
3,The Meg,USA/Chn,"£1,502,535",Warner Bros,-29%,3,549,"£2,737","£11,734,530",
4,Incredibles 2,USA,"£1,268,401",Disney,-7%,7,582,"£2,179","£51,229,806",
5,The Equalizer 2,USA,"£1,256,615",Sony Pictures,-37%,2,497,"£2,528","£4,558,724",
6,BlacKkKlansman,USA,"£1,234,214",Universal,-,1,217,"£5,688","£1,234,214",
7,The Spy Who Dumped Me,USA,"£1,057,211",Lionsgate,-,1,475,"£2,226","£1,057,211",
8,Mission: Impossible Fallout,UK/USA,"£924,424",Paramount,-21%,5,445,"£2,077","£21,855,333",
9,Hotel Transylvania 3: A Monster Vacation,USA,"£910,555",Sony Pictures,-6%,5,574,"£1,586","£15,966,398",
10,Ant-Man and The Wasp,USA,"£794,409",Disney,-32%,4,471,"£1,687","£15,470,066",
11,The Children Act,UK/USA,"£517,378",eOne Films,-,1,148,"£3,495","£517,378",
12,The Festival,UK,"£458,095",Entertainment,-68%,2,384,"£1,193","£2,540,465",
13,Romeo and Juliet (Secret Cinema 2018),USA,"£457,323",20th Century Fox,-54%,3,1,"£457,323","£3,330,876",
14,Slender Man,USA,"£389,339",Sony Pictures,-,1,280,"£1,390","£389,339",
15,Alpha,USA,"£225,606",Sony Pictures,-,1,280,£806,"£225,606",
,Total,,"£14,836,091",,,3,415,"£32,713","£196,043,057",
,,,,,,,,,,
,,,,,,,,,,
,Other UK films,,,,,,,,,
19,Sherlock Gnomes,UK/USA,"£47,356",Paramount,1189%,16,228,£208,"£9,337,543",
24,Jurassic World: Fallen Kingdom,UK/USA,"£27,836",Universal,-37%,12,65,£428,"£41,490,441",
33,Thomas & Friends: Big World! Big Adventures! The Movie,UK,"£12,199",National Amusements UK,15%,6,149,£82,"£467,437",
35,Apostasy,UK,"£9,495",Curzon,-54%,5,17,£559,"£303,652",
42,Sgt. Stubby: An Unlikely Hero,Ire/UK/Fra/Can/USA,"£5,595",Fun Academy,-60%,3,43,£130,"£99,854",
44,Peter Rabbit,Aus/UK/USA,"£5,200",Sony Pictures,-79%,24,32,£163,"£41,067,757",
